id,name,logo,top,slug,meta_title,meta_description,created_at,updated_at
30,Lee Cooper,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwjnIOAflT9pdT_ZKJ00CN4tAm6J0sPTEUictGSAgKH3KS1zkcvjtsCjHVgQ&s,0,,,,,
31,Mr. Men Little Miss,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQabiA5AFekSI9FrhfsaooIYqY_o63ZlO8xFDGXS6kPwwxBlPYOYdeCGhkcPQ&s,0,,,,,
32,Mr. Men,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQabiA5AFekSI9FrhfsaooIYqY_o63ZlO8xFDGXS6kPwwxBlPYOYdeCGhkcPQ&s,0,,,,,
33,Catwalk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzEgFjUuFzs20r4Q2egfzZkMipCnI1GEyBLhVPnnRdhbFQ7-_FEnsZEGJg-g&s,0,,,,,
34,Do u speak green,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSk0-wYI2bw7CAAuHrPA3ds0cs8nUku_9NSqAfBXuktUQQaVzjITM76tXtCTw&s,0,,,,,
35,Tantra,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzCVCkf0LP0HVPzTJH-tirrXWwYZ4FOYdiXsVn3NyWqVJAGpy8EXE8xIsgnA&s,0,,,,,
36,Guerrilla,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy6NeB3QDlRQYBe5v62Y_KMdLDiJhrxqqy65f-7Fw_zw598-LccvyJz4DxQSY&s,0,,,,,
37,ASICS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB0IX2aKoF0b21SDfb42W80LzWpa2_4WE5ZdTxXAn1Q4oH6f7oZ3ba-CB92g&s,0,,,,,
38,Myntra,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRv5Egoa7P4RX0Vshd_akYwrZSKPejdKk6P7kdBt04HgRXdO8_aupO1Ltl3sA&s,0,,,,,
39,Skechers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEXqDPctBRbWjmjJwiOO7RSLgb4kNDRyRQskP5QJ7ObuZ8PcCT-ojb0joNm_A&s,0,,,,,
40,Converse,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSx8IcSzB1XFaBV8Dlhr7hcsGioGoEVuzi584R81sFNSBQkFz1KQagj36xlUA&s,0,,,,,
41,FILA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2r1masr5hhzWjcgXYu9jc4cJB7knlIFwvMHfF0mM5jd7sX0akS3cWvGpOU5o&s,0,,,,,
42,Status Quo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8mRpHLGhSVaIbaF5aG72CUpH4OA4cPZ-Zc3yvJli-sTmh8oZP_VXssLMZ1w&s,0,,,,,
43,Crocs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2QygUTgj-37dDOtuLCbWaZCcC69wBzFw0B1PmK2H2XvngDeI5r0gsH2DYVAs&s,0,,,,,
44,Wrangler,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwUDrTIEa9Y5pkVocgxV_qOxJ6riwBNFQaBY33J8SDg2Waf2hu1n7Nv5PckYw&s,0,,,,,
45,Ed Hardy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4IN5PI3ECet7z6lOMVyFatIXUwoGLlYQSIK5rh_vO5msgYd3FXSDN4_omq4U&s,0,,,,,
46,Urban Yoga,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBT4uWiFp2I0F7_UTWLDXXhPaJuVBE_NtqEAUV5CiUu_nM4nUKR_GUQbqV0A&s,0,,,,,
47,Jealous 21,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSx8lp83yvBMWkCrQquYtIXH-75G7aX0AggyvO5uvb5aWVIvGO214psoqEAyA&s,0,,,,,
48,Spalding,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnljTB42XPe4SKBA2nX0NKKIvbropJOT8ygy8r5jtCVUblY5IMCb5PiQ_ksw&s,0,,,,,
49,Rockport,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTROpo0Ji5CxTamfA0FZcMCGu26AjDPJd3tT-xH27VZuNl_f-TLUVbYSPhmeg&s,0,,,,,
50,Mickey,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPNYIGGFqf9a1d9aLZAEYeikOjEbO-aYAlJRb29bx8CR0UP9itaJw6rR8ky-o&s,0,,,,,
51,Superman,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUEllC58WXoC4ez0K8xIVO5hpSYMp_1-hiKJ8y5AZq71bg79b7zxaOOtLP8a4&s,0,,,,,
52,Batman,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5iHeto3carWMVM0zsEn2rB87v93w8_nVw8YC5N-trhiiWcwo9BiTOZJF1CnA&s,0,,,,,
53,DC Comics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_cYOjVzmmG7dhZ1z8e4p_Si0M1Itp33Pte5dxAc3Uvy4HEU2qWn799jEJTA&s,0,,,,,
54,Free Authority,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHE6iaq9YiVDbT7nUKzD50TXdVkydVllUBZWg5BING4fydaddk78BqTki4SoQ&s,0,,,,,
55,Beatles,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSmNfYBVljF3ybh1N5kpiYQ8cu4QgUEn_eHCRYXboLEU0FvobV4EsTPRXzrPk&s,0,,,,,
56,Pink Floyd,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRv18zpiVyJ8s57WoNJgCft8WXP1qaRf5h4IPasZOfw2tWbp9xS7lsIy51N_WE&s,0,,,,,
57,Smashing Pumpkins,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWR_2XGc67lKRjK-llnF7V6WNvk9po1rQ77h4VLrGI1EYYGHzFBOIc4AwUg8I&s,0,,,,,
58,Aerosmith,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkUXtPtePRPSvN0aO-73lBv8r3McS73ORbaRkG7OeRuu9A2V5Nt2_hvsfvKEM&s,0,,,,,
59,Marvel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDDJN50-5rr1gC-NpSrK665CaevKb4DqdqEPVctu3-JkSQvXhEWN4S4DWpmQ&s,0,,,,,
60,Jimi Hendrix,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnEK1QHyoMN3O-7LBPn3OxGkywxvHBBv468WY4XIii8z-29lroWWOHEl0D1Eg&s,0,,,,,
61,Billy Idol,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7Yhfvf7uMUz3v9NFmsFDSX2YUaZhqXYdPgq3i6wuVkq3pUxUCI-ylgm1GT1o&s,0,,,,,
62,Rolling Stone,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8UPdg2MxqpgCEfl_ft4-3hzrxmI852vbzLlRgducj_XDOdz0NIog9zpJ6tsk&s,0,,,,,
63,Nirvana,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-ELENxoVeYqun5FfODory4Dm7_ra-hucT9YFnxyxXqnK_934p65MX0YxQHvk&s,0,,,,,
64,John Lenon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmix6xApKuQ3UtA-Hmbkx_MGvzO23M2XjpkUgeStZWocNEMytvbRGsRig84Do&s,0,,,,,
65,Wildcraft,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSO296HvcsuFM_3G9x1Xv4TK0gtQhN6ssZVPckaecWi8iVqbA2sMUj7In1jk_U&s,0,,,,,
66,Sher Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGVY71mmBfrTdGkku1_9FBPnZNLwl6UWN_d7kWSoKF-hF2APmPT6qMpcpKNA&s,0,,,,,
67,Levis Kids,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNacwqfCDKlTWT6XEbXb-7SLOAosS-h2eLU6lyqscW3ILbaZdJpdk5kWnUzQ&s,0,,,,,
